CCSDS_OEM_VERS = 2.0
CREATION_DATE  = 2026-09-19T15:15:51.545
ORIGINATOR     = ORBINAUTS ENGINE ORACLE

META_START
OBJECT_NAME          = ISS
OBJECT_ID            = 1998-067-A
CENTER_NAME          = Earth
REF_FRAME            = EME2000
TIME_SYSTEM          = UTC
START_TIME           = 2026-09-19T12:00:00.000
USEABLE_START_TIME   = 2026-09-19T12:00:00.000
USEABLE_STOP_TIME    = 2026-09-21T13:00:00.000
STOP_TIME            = 2026-09-21T13:00:00.000
META_STOP

COMMENT Simulated data: every vector here was computed by oracle/ephemeris.py with Skyfield from published Elements and a made-up reboost.
COMMENT It follows the layout of NASA's ISS Ephemeris file but is not NASA's and describes no real trajectory.
COMMENT Units are in kg and m^2
COMMENT MASS=468853.80
COMMENT DRAG_AREA=1138.30
COMMENT DRAG_COEFF=1.80
COMMENT Begin sequence of events
COMMENT TRAJECTORY EVENT SUMMARY:
COMMENT 
COMMENT |       EVENT        |       TIG        | ORB |   DV    |   HA    |   HP    |
COMMENT |                    |       GMT        |     |   M/S   |   KM    |   KM    |
COMMENT =============================================================================
COMMENT  Simulated_Reboost    263:12:00:00.000             0.8     424.6     416.5
COMMENT =============================================================================
COMMENT End sequence of events
2026-09-20T11:57:00.000 6680.353753467 1198.165949708 -336.054874666 -1.125518638080 4.636880591677 -5.996967461789
2026-09-20T11:58:00.000 6597.584650448 1473.424098291 -694.825724899 -1.632386563802 4.534896513536 -5.957506665852
2026-09-20T11:59:00.000 6484.620201436 1741.938776906 -1050.407762043 -2.131644875828 4.412188529551 -5.890716826559
2026-09-20T12:00:00.000 6344.782477879 2000.665661093 -1398.404441602 -2.616429462621 4.270209466926 -5.797224931297
2026-09-20T12:01:00.000 6173.417798644 2252.110934014 -1742.767002690 -3.093535519372 4.108123905175 -5.677167350687
2026-09-20T12:02:00.000 5973.845323625 2493.265782902 -2079.144009389 -3.556332741330 3.927330784509 -5.531144444359
2026-09-20T12:03:00.000 5746.987388291 2723.032676362 -2405.997720983 -4.002707105079 3.728674497352 -5.359848353871
2026-09-20T12:04:00.000 5493.890802214 2940.367201567 -2721.835424741 -4.430625027882 3.513080432175 -5.164087185996
2026-09-20T12:05:00.000 5215.721741402 3144.282780094 -3025.216262094 -4.838142642408 3.281550132638 -4.944780539290
2026-09-20T12:06:00.000 4913.760101872 3333.855083299 -3314.757770827 -5.223414477418 3.035156132196 -4.702954517048
2026-09-20T12:07:00.000 4589.393351205 3508.226129135 -3589.142113968 -5.584701509134 2.775036509354 -4.439736277252
2026-09-20T12:08:00.000 4244.109916631 3666.608045050 -3847.121969152 -5.920378557580 2.502389208536 -4.156348171631
